Client,Server,Bandwidth (Mbps)
192.168.1.1,192.168.1.2,933
192.168.1.1,192.168.1.3,195
192.168.1.1,192.168.1.4,292
192.168.1.1,192.168.1.5,933
192.168.1.2,192.168.1.1,947
192.168.1.2,192.168.1.3,202
192.168.1.2,192.168.1.4,330
192.168.1.2,192.168.1.5,949
192.168.1.3,192.168.1.1,214
192.168.1.3,192.168.1.2,257
192.168.1.3,192.168.1.4,143
192.168.1.3,192.168.1.5,266
192.168.1.4,192.168.1.1,292
192.168.1.4,192.168.1.2,273
192.168.1.4,192.168.1.3,123
192.168.1.4,192.168.1.5,282
192.168.1.5,192.168.1.1,947
192.168.1.5,192.168.1.2,949
192.168.1.5,192.168.1.3,207
192.168.1.5,192.168.1.4,365
